Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
UCL,2011-06-28,FC Santa Coloma,F91 Dudelange,0,2,A
UCL,2011-06-28,Tre Fiori,Valletta FC,0,3,A
UCL,2011-07-05,F91 Dudelange,FC Santa Coloma,2,0,H
UCL,2011-07-06,Valletta FC,Tre Fiori,2,1,H
UCL,2011-07-12,Pyunik Yerevan,Plzen,0,4,A
UCL,2011-07-12,Valletta FC,Ekranas,2,3,A
UCL,2011-07-12,Maribor,F91 Dudelange,2,0,H
UCL,2011-07-12,Mogren,Litex,1,2,A
UCL,2011-07-12,Slovan Bratislava,FK Tobol Kostanay,2,0,H
UCL,2011-07-12,Shamrock Rovers,Flora Tallinn,1,0,H
UCL,2011-07-13,Zestafoni,Dacia,3,0,H
UCL,2011-07-13,Malmo FF,HB Torshavn,2,0,H
UCL,2011-07-13,Maccabi Haifa,Borac Banja Luka,5,1,H
UCL,2011-07-13,Bangor City,HJK Helsinki,0,3,A
UCL,2011-07-13,Skenderbeu Korce,Apoel Nicosia,0,2,A
UCL,2011-07-13,Dinamo Zagreb,Neftchi Baku,3,0,H
UCL,2011-07-13,Sturm Graz,Fehérvár FC,2,0,H
UCL,2011-07-13,Skonto,Wisla Krakow,0,1,A
UCL,2011-07-13,Rosenborg,Breidablik,5,0,H
UCL,2011-07-13,FK Partizan,Shkendija,4,0,H
UCL,2011-07-13,Linfield,Bate Borisov,1,1,D
UCL,2011-07-19,Flora Tallinn,Shamrock Rovers,0,0,D
UCL,2011-07-19,Bate Borisov,Linfield,2,0,H
UCL,2011-07-19,F91 Dudelange,Maribor,1,3,A
UCL,2011-07-19,HJK Helsinki,Bangor City,10,0,H
UCL,2011-07-19,FK Tobol Kostanay,Slovan Bratislava,1,1,D
UCL,2011-07-19,Neftchi Baku,Dinamo Zagreb,0,0,D
UCL,2011-07-19,Ekranas,Valletta FC,1,0,H
UCL,2011-07-19,Litex,Mogren,3,0,H
UCL,2011-07-19,HB Torshavn,Malmo FF,1,1,D
UCL,2011-07-19,Plzen,Pyunik Yerevan,5,1,H
