Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
UEL,2015-05-27,Dnipro Dnipropetrovsk,Sevilla,2,3,A
UEL,2015-05-07,Napoli,Dnipro Dnipropetrovsk,1,1,D
UEL,2015-05-14,Dnipro Dnipropetrovsk,Napoli,1,0,H
UEL,2015-05-07,Sevilla,Fiorentina,3,0,H
UEL,2015-05-14,Fiorentina,Sevilla,0,2,A
UEL,2015-04-16,Sevilla,Zenit Saint Petersburg,2,1,H
UEL,2015-04-23,Zenit Saint Petersburg,Sevilla,2,2,D
UEL,2015-04-16,Club Brugge KV,Dnipro Dnipropetrovsk,0,0,D
UEL,2015-04-23,Dnipro Dnipropetrovsk,Club Brugge KV,1,0,H
UEL,2015-04-16,Dynamo Kyiv,Fiorentina,1,1,D
UEL,2015-04-23,Fiorentina,Dynamo Kyiv,2,0,H
UEL,2015-04-16,VfL Wolfsburg,Napoli,1,4,A
UEL,2015-04-23,Napoli,VfL Wolfsburg,2,2,D
UEL,2015-03-12,Zenit Saint Petersburg,Torino,2,0,H
UEL,2015-03-19,Torino,Zenit Saint Petersburg,1,0,H
UEL,2015-03-12,Dnipro Dnipropetrovsk,Ajax,1,0,H
UEL,2015-03-19,Ajax,Dnipro Dnipropetrovsk,2,1,H
UEL,2015-03-12,VfL Wolfsburg,Inter,3,1,H
UEL,2015-03-19,Inter,VfL Wolfsburg,1,2,A
UEL,2015-03-12,Club Brugge KV,Beşiktaş,2,1,H
UEL,2015-03-19,Beşiktaş,Club Brugge KV,1,3,A
UEL,2015-03-12,Napoli,Dinamo Moscow,3,1,H
UEL,2015-03-19,Dinamo Moscow,Napoli,0,0,D
UEL,2015-03-12,Everton,Dynamo Kyiv,2,1,H
UEL,2015-03-19,Dynamo Kyiv,Everton,5,2,H
UEL,2015-03-12,Fiorentina,AS Roma,1,1,D
UEL,2015-03-19,AS Roma,Fiorentina,0,3,A
UEL,2015-03-12,Villarreal,Sevilla,1,3,A
UEL,2015-03-19,Sevilla,Villarreal,2,1,H
UEL,2015-02-19,PSV Eindhoven,Zenit Saint Petersburg,0,1,A
UEL,2015-02-26,Zenit Saint Petersburg,PSV Eindhoven,3,0,H
UEL,2015-02-19,BSC Young Boys,Everton,1,4,A
UEL,2015-02-26,Everton,BSC Young Boys,3,1,H
UEL,2015-02-19,Aalborg,Club Brugge KV,1,3,A
UEL,2015-02-26,Club Brugge KV,Aalborg,3,0,H
UEL,2015-02-19,Torino,Athletic Club,2,2,D
UEL,2015-02-26,Athletic Club,Torino,2,3,A
UEL,2015-02-19,VfL Wolfsburg,Sporting CP,2,0,H
UEL,2015-02-26,Sporting CP,VfL Wolfsburg,0,0,D
UEL,2015-02-19,Dnipro Dnipropetrovsk,Olympiakos Piraeus,2,0,H
UEL,2015-02-26,Olympiakos Piraeus,Dnipro Dnipropetrovsk,2,2,D
UEL,2015-02-19,Trabzonspor,Napoli,0,4,A
UEL,2015-02-26,Napoli,Trabzonspor,1,0,H
UEL,2015-02-19,AS Roma,Feyenoord,1,1,D
UEL,2015-02-26,Feyenoord,AS Roma,1,2,A
UEL,2015-02-19,Anderlecht,Dinamo Moscow,0,0,D
UEL,2015-02-26,Dinamo Moscow,Anderlecht,3,1,H
UEL,2015-02-19,Sevilla,Borussia Monchengladbach,1,0,H
UEL,2015-02-26,Borussia Monchengladbach,Sevilla,2,3,A
UEL,2015-02-19,Ajax,Legia Warszawa,1,0,H
UEL,2015-02-26,Legia Warszawa,Ajax,0,3,A
UEL,2015-02-19,Guingamp,Dynamo Kyiv,2,1,H
UEL,2015-02-26,Dynamo Kyiv,Guingamp,3,1,H
UEL,2015-02-19,Villarreal,Red Bull Salzburg,2,1,H
UEL,2015-02-26,Red Bull Salzburg,Villarreal,1,3,A
UEL,2015-02-19,Liverpool,Beşiktaş,1,0,H
UEL,2015-02-26,Beşiktaş,Liverpool,2,0,H
UEL,2015-02-19,Tottenham,Fiorentina,1,1,D
UEL,2015-02-26,Fiorentina,Tottenham,2,0,H
UEL,2015-02-19,Celtic,Inter,3,3,D
UEL,2015-02-26,Inter,Celtic,1,0,H
UEL,2014-09-18,Qarabag,Saint Etienne,0,0,D
UEL,2014-09-18,Borussia Monchengladbach,Villarreal,1,1,D
UEL,2014-09-18,Apollon Limassol,FC Zurich,3,2,H
UEL,2014-09-18,Club Brugge KV,Torino,0,0,D
UEL,2014-09-18,FC Copenhagen,HJK Helsinki,2,0,H
UEL,2014-09-18,FK Partizan,Tottenham,0,0,D
UEL,2014-09-18,Beşiktaş,Asteras Tripolis,1,1,D
UEL,2014-09-18,Red Bull Salzburg,Celtic,2,2,D
UEL,2014-09-18,Dinamo Zagreb,FC Astra Giurgiu,5,1,H
UEL,2014-09-18,PSV Eindhoven,Estoril,1,0,H
UEL,2014-09-18,Panathinaikos,Dinamo Moscow,1,2,A
UEL,2014-09-18,Dnipro Dnipropetrovsk,Inter,0,1,A
UEL,2014-09-18,Standard Liege,HNK Rijeka,2,0,H
UEL,2014-09-18,Sevilla,Feyenoord,2,0,H
UEL,2014-09-18,Lille,Krasnodar,1,1,D
UEL,2014-09-18,Everton,VfL Wolfsburg,4,1,H
UEL,2014-09-18,BSC Young Boys,Slovan Bratislava,5,0,H
UEL,2014-09-18,Napoli,Sparta Praha,3,1,H
UEL,2014-09-18,FCSB,Aalborg,6,0,H
UEL,2014-09-18,Rio Ave,Dynamo Kyiv,0,3,A
UEL,2014-09-18,PAOK,Dinamo Minsk,6,1,H
UEL,2014-09-18,Fiorentina,Guingamp,3,0,H
UEL,2014-09-18,Metalist,Trabzonspor,1,2,A
UEL,2014-09-18,Legia Warszawa,Lokeren,1,0,H
UEL,2014-10-02,Dinamo Moscow,PSV Eindhoven,1,0,H
UEL,2014-10-02,Krasnodar,Everton,1,1,D
UEL,2014-10-02,Feyenoord,Standard Liege,2,1,H
UEL,2014-10-02,HNK Rijeka,Sevilla,2,2,D
UEL,2014-10-02,VfL Wolfsburg,Lille,1,1,D
UEL,2014-10-02,Sparta Praha,BSC Young Boys,3,1,H
UEL,2014-10-02,Slovan Bratislava,Napoli,0,2,A
UEL,2014-10-02,Dynamo Kyiv,FCSB,3,1,H
UEL,2014-10-02,Aalborg,Rio Ave,1,0,H
UEL,2014-10-02,Guingamp,PAOK,2,0,H
UEL,2014-10-02,Dinamo Minsk,Fiorentina,0,3,A
UEL,2014-10-02,Lokeren,Metalist,1,0,H
UEL,2014-10-02,Trabzonspor,Legia Warszawa,0,1,A
UEL,2014-10-02,FC Zurich,Borussia Monchengladbach,1,1,D
UEL,2014-10-02,Villarreal,Apollon Limassol,4,0,H
UEL,2014-10-02,HJK Helsinki,Club Brugge KV,0,3,A
UEL,2014-10-02,Torino,FC Copenhagen,1,0,H
UEL,2014-10-02,Asteras Tripolis,FK Partizan,2,0,H
UEL,2014-10-02,Tottenham,Beşiktaş,1,1,D
UEL,2014-10-02,FC Astra Giurgiu,Red Bull Salzburg,1,2,A
UEL,2014-10-02,Celtic,Dinamo Zagreb,1,0,H
UEL,2014-10-02,Estoril,Panathinaikos,2,0,H
UEL,2014-10-02,Saint Etienne,Dnipro Dnipropetrovsk,0,0,D
UEL,2014-10-02,Inter,Qarabag,2,0,H
UEL,2014-10-22,Metalist,Legia Warszawa,0,1,A
UEL,2014-10-23,Krasnodar,VfL Wolfsburg,2,4,A
UEL,2014-10-23,HNK Rijeka,Feyenoord,3,1,H
UEL,2014-10-23,Standard Liege,Sevilla,0,0,D
UEL,2014-10-23,Lille,Everton,0,0,D
UEL,2014-10-23,Slovan Bratislava,Sparta Praha,0,3,A
UEL,2014-10-23,BSC Young Boys,Napoli,2,0,H
UEL,2014-10-23,Aalborg,Dynamo Kyiv,3,0,H
UEL,2014-10-23,FCSB,Rio Ave,2,1,H
UEL,2014-10-23,Dinamo Minsk,Guingamp,0,0,D
UEL,2014-10-23,PAOK,Fiorentina,0,1,A
UEL,2014-10-23,Trabzonspor,Lokeren,2,0,H
UEL,2014-10-23,Villarreal,FC Zurich,4,1,H
UEL,2014-10-23,Borussia Monchengladbach,Apollon Limassol,5,0,H
UEL,2014-10-23,Torino,HJK Helsinki,2,0,H
UEL,2014-10-23,Club Brugge KV,FC Copenhagen,1,1,D
UEL,2014-10-23,Tottenham,Asteras Tripolis,5,1,H
UEL,2014-10-23,FK Partizan,Beşiktaş,0,4,A
UEL,2014-10-23,Celtic,FC Astra Giurgiu,2,1,H
UEL,2014-10-23,Red Bull Salzburg,Dinamo Zagreb,4,2,H
UEL,2014-10-23,Estoril,Dinamo Moscow,1,2,A
UEL,2014-10-23,PSV Eindhoven,Panathinaikos,1,1,D
UEL,2014-10-23,Inter,Saint Etienne,0,0,D
UEL,2014-10-23,Dnipro Dnipropetrovsk,Qarabag,0,1,A
UEL,2014-11-06,Dinamo Moscow,Estoril,1,0,H
UEL,2014-11-06,Qarabag,Dnipro Dnipropetrovsk,1,2,A
UEL,2014-11-06,FC Zurich,Villarreal,3,2,H
UEL,2014-11-06,Apollon Limassol,Borussia Monchengladbach,0,2,A
UEL,2014-11-06,HJK Helsinki,Torino,2,1,H
UEL,2014-11-06,FC Copenhagen,Club Brugge KV,0,4,A
UEL,2014-11-06,Asteras Tripolis,Tottenham,1,2,A
UEL,2014-11-06,Beşiktaş,FK Partizan,2,1,H
UEL,2014-11-06,FC Astra Giurgiu,Celtic,1,1,D
UEL,2014-11-06,Dinamo Zagreb,Red Bull Salzburg,1,5,A
UEL,2014-11-06,Panathinaikos,PSV Eindhoven,2,3,A
UEL,2014-11-06,Saint Etienne,Inter,1,1,D
UEL,2014-11-06,Feyenoord,HNK Rijeka,2,0,H
UEL,2014-11-06,Sevilla,Standard Liege,3,1,H
UEL,2014-11-06,VfL Wolfsburg,Krasnodar,5,1,H
UEL,2014-11-06,Everton,Lille,3,0,H
UEL,2014-11-06,Sparta Praha,Slovan Bratislava,4,0,H
UEL,2014-11-06,Napoli,BSC Young Boys,3,0,H
UEL,2014-11-06,Dynamo Kyiv,Aalborg,2,0,H
UEL,2014-11-06,Rio Ave,FCSB,2,2,D
UEL,2014-11-06,Guingamp,Dinamo Minsk,2,0,H
UEL,2014-11-06,Fiorentina,PAOK,1,1,D
UEL,2014-11-06,Lokeren,Trabzonspor,1,1,D
UEL,2014-11-06,Legia Warszawa,Metalist,2,1,H
UEL,2014-11-27,Dinamo Moscow,Panathinaikos,2,1,H
UEL,2014-11-27,Krasnodar,Lille,1,1,D
UEL,2014-11-27,HNK Rijeka,Standard Liege,2,0,H
UEL,2014-11-27,Feyenoord,Sevilla,2,0,H
UEL,2014-11-27,VfL Wolfsburg,Everton,0,2,A
UEL,2014-11-27,Slovan Bratislava,BSC Young Boys,1,3,A
UEL,2014-11-27,Sparta Praha,Napoli,0,0,D
UEL,2014-11-27,Aalborg,FCSB,1,0,H
UEL,2014-11-27,Dynamo Kyiv,Rio Ave,2,0,H
UEL,2014-11-27,Dinamo Minsk,PAOK,0,2,A
UEL,2014-11-27,Guingamp,Fiorentina,1,2,A
UEL,2014-11-27,Trabzonspor,Metalist,3,1,H
UEL,2014-11-27,Lokeren,Legia Warszawa,1,0,H
UEL,2014-11-27,Villarreal,Borussia Monchengladbach,2,2,D
UEL,2014-11-27,FC Zurich,Apollon Limassol,3,1,H
